date,price
2024-03-19,170.04085
2024-03-20,207.76068
2024-03-21,206.64236
2024-03-22,207.45056
2024-03-25,213.02838
2024-03-26,218.31755
2024-03-27,224.49966
2024-03-28,228.54669
2024-04-01,226.92665
2024-04-02,227.32507
2024-04-03,228.06227
2024-04-04,229.266
2024-04-05,229.80588
2024-04-08,229.35658
2024-04-09,232.62929
2024-04-10,235.33684
2024-04-11,234.8453
2024-04-12,234.27055
2024-04-15,234.49313
2024-04-16,234.49069
2024-04-17,234.43063
2024-04-18,233.17876
2024-04-19,229.6975
2024-04-22,225.48666
2024-04-23,222.01054
2024-04-24,220.29077
2024-04-25,221.59323
2024-04-26,223.27838
2024-04-29,222.23772
2024-04-30,221.9934
2024-05-01,223.14224
2024-05-02,228.30775
2024-05-03,229.98904
2024-05-06,229.62442
2024-05-07,225.71065
2024-05-08,219.673
2024-05-09,216.51064
2024-05-10,216.78008
2024-05-13,217.27226
2024-05-14,219.06456
2024-05-15,222.91376
2024-05-16,224.42847
2024-05-17,227.38533
2024-05-20,226.06783
2024-05-21,228.0958
2024-05-22,230.97089
2024-05-23,233.47023
2024-05-24,233.38779
2024-05-28,233.76604
2024-05-29,233.54114
2024-05-30,235.82124
2024-05-31,239.8384
2024-06-03,242.2862
2024-06-04,244.94823
2024-06-05,246.02121
2024-06-06,244.52376
2024-06-07,242.24326
2024-06-10,240.34756
2024-06-11,238.37025
2024-06-12,238.92873
2024-06-13,240.24074
2024-06-14,238.14908
2024-06-17,236.64615
2024-06-18,236.27185
2024-06-20,235.74884
2024-06-21,235.48387
2024-06-24,233.87134
2024-06-25,232.29552
2024-06-26,232.43784
2024-06-27,232.0333
2024-06-28,230.73022
2024-07-01,228.52608
2024-07-02,226.8939
2024-07-03,225.60196
2024-07-05,224.60225
2024-07-08,222.55244
2024-07-09,220.89102
2024-07-10,220.41214
2024-07-11,220.36024
2024-07-12,219.71115
2024-07-15,219.00496
2024-07-16,218.2197
2024-07-17,218.6394
2024-07-18,217.25475
2024-07-19,217.56398
2024-07-22,218.64171
2024-07-23,219.50658
2024-07-24,218.10435
2024-07-25,215.65056
2024-07-26,215.35571
2024-07-29,215.29008
2024-07-30,217.28401
2024-07-31,220.47356
2024-08-01,223.33835
2024-08-02,224.3436
2024-08-05,223.19829
2024-08-06,222.03427
2024-08-07,222.39735
2024-08-08,224.18498
2024-08-09,226.44366
2024-08-12,225.9149
2024-08-13,224.47202
2024-08-14,223.43066
2024-08-15,223.66386
2024-08-16,223.58002
2024-08-19,221.70126
2024-08-20,220.5691
2024-08-21,220.74802
2024-08-22,219.21887
2024-08-23,216.64987
2024-08-26,216.09242
2024-08-27,218.05052
2024-08-28,217.9863
2024-08-29,219.0654
2024-08-30,220.19258
2024-09-03,221.42001
2024-09-04,218.76544
2024-09-05,218.5005
2024-09-06,218.60573
2024-09-09,219.51546
2024-09-10,219.83017
2024-09-11,219.61877
2024-09-12,216.60144
2024-09-13,211.67288
2024-09-16,210.69745
2024-09-17,212.6804
2024-09-18,215.63028
2024-09-19,215.45172
2024-09-20,214.63579
2024-09-23,213.56578
2024-09-24,213.72574
2024-09-25,213.69588
2024-09-26,214.17114
2024-09-27,214.91617
2024-09-30,217.81297
2024-10-01,220.52419
2024-10-02,220.01083
2024-10-03,218.80402
2024-10-04,218.96306
2024-10-07,218.02489
2024-10-08,217.23404
2024-10-09,216.71342
2024-10-10,217.57312
2024-10-11,217.58824
2024-10-14,217.41203
2024-10-15,217.1013
2024-10-16,215.93149
2024-10-17,214.45044
2024-10-18,213.1709
2024-10-21,210.56973
2024-10-22,208.12224
2024-10-23,204.90479
2024-10-24,202.8
2024-10-25,203.69931
2024-10-28,208.14996
2024-10-29,213.13666
2024-10-30,213.35849
2024-10-31,213.9355
2024-11-01,212.09445
2024-11-04,211.56041
2024-11-05,211.46747
2024-11-06,212.21884
2024-11-07,214.24384
2024-11-08,216.37158
2024-11-11,215.69214
2024-11-12,216.40115
2024-11-13,218.54228
2024-11-14,222.2776
2024-11-15,224.0882
2024-11-18,222.34657
2024-11-19,220.30533
2024-11-20,220.28523
2024-11-21,221.52213
2024-11-22,219.32437
2024-11-25,218.15375
2024-11-26,215.97035
2024-11-27,212.96863
2024-11-29,210.78543
2024-12-02,207.8942
2024-12-03,206.04285
2024-12-04,206.48595
2024-12-05,204.05342
2024-12-06,201.2011
2024-12-09,200.5216
2024-12-10,201.39664
2024-12-11,204.14426
2024-12-12,206.90929
2024-12-13,207.52742
2024-12-16,206.45384
2024-12-17,205.92012
2024-12-18,201.66145
2024-12-19,194.80542
2024-12-20,189.40402
2024-12-23,190.58018
2024-12-24,189.86359
2024-12-26,190.04688
2024-12-27,189.0946
2024-12-30,188.2716
2024-12-31,186.99232
2025-01-02,186.05327
2025-01-03,185.18146
2025-01-06,184.53354
2025-01-07,184.01192
2025-01-08,184.04019
2025-01-10,186.09833
2025-01-13,186.18512
2025-01-14,185.26122
2025-01-15,184.67584
2025-01-16,184.21353
2025-01-17,183.00447
2025-01-21,181.02483
2025-01-22,179.5264
2025-01-23,178.404
2025-01-24,178.76353
2025-01-27,178.19594
2025-01-28,177.96635
2025-01-29,176.62138
2025-01-30,173.41405
2025-01-31,167.8241
2025-02-03,167.01135
2025-02-04,168.2227
2025-02-05,168.59859
2025-02-06,166.90025
2025-02-07,166.56265
2025-02-10,165.11668
2025-02-11,163.43597
2025-02-12,162.62064
2025-02-13,162.79475
2025-02-14,164.2762
2025-02-18,165.97995
2025-02-19,168.49745
2025-02-20,171.01521
2025-02-21,171.348
2025-02-24,168.51184
2025-02-25,165.74757
2025-02-26,166.34843
2025-02-27,166.06787
2025-02-28,166.37688
2025-03-03,166.22165
2025-03-04,166.6048
2025-03-05,166.94891
2025-03-06,168.04156
2025-03-07,168.608
2025-03-10,168.16539
2025-03-11,166.91695
2025-03-12,168.0283
2025-03-13,169.47118
2025-03-14,171.15817
2025-03-17,173.31104
2025-03-18,171.29768
