date,price
2024-03-17,174.12
2024-03-18,173.72
2024-03-19,176.08
2024-03-20,178.67
2024-03-21,171.37
2024-03-22,172.28
2024-03-25,170.85
2024-03-26,169.71
2024-03-27,173.31
2024-03-28,171.48
2024-04-01,170.03
2024-04-02,168.84
2024-04-03,169.65
2024-04-04,168.82
2024-04-05,169.58
2024-04-08,168.45
2024-04-09,169.67
2024-04-10,167.78
2024-04-11,175.04
2024-04-12,176.55
2024-04-15,172.69
2024-04-16,169.38
2024-04-17,168.0
2024-04-18,167.04
2024-04-19,165.0
2024-04-22,165.84
2024-04-23,166.9
2024-04-24,169.02
2024-04-25,169.89
2024-04-26,169.3
2024-04-29,173.5
2024-04-30,170.33
2024-05-01,169.3
2024-05-02,173.03
2024-05-03,183.38
2024-05-06,181.71
2024-05-07,182.4
2024-05-08,182.74
2024-05-09,184.57
2024-05-10,183.05
2024-05-13,186.28
2024-05-14,187.43
2024-05-15,189.72
2024-05-16,189.84
2024-05-17,189.87
2024-05-20,191.04
2024-05-21,192.35
2024-05-22,190.9
2024-05-23,186.88
2024-05-24,189.98
2024-05-28,189.99
2024-05-29,190.29
2024-05-30,191.29
2024-05-31,192.25
2024-06-03,194.03
2024-06-04,194.35
2024-06-05,195.87
2024-06-06,194.48
2024-06-07,196.89
2024-06-10,193.12
2024-06-11,207.15
2024-06-12,213.07
2024-06-13,214.24
2024-06-14,212.49
2024-06-17,216.67
2024-06-18,214.29
2024-06-20,209.68
2024-06-21,207.49
2024-06-24,208.14
2024-06-25,209.07
2024-06-26,213.25
2024-06-27,214.1
2024-06-28,210.62
2024-07-01,216.75
2024-07-02,220.27
2024-07-03,221.55
2024-07-05,226.34
2024-07-08,227.82
2024-07-09,228.68
2024-07-10,232.98
2024-07-11,227.57
2024-07-12,230.54
2024-07-15,234.4
2024-07-16,234.82
2024-07-17,228.88
2024-07-18,224.18
2024-07-19,224.31
2024-07-22,223.96
2024-07-23,225.01
2024-07-24,218.54
2024-07-25,217.49
2024-07-26,217.96
2024-07-29,218.24
2024-07-30,218.8
2024-07-31,222.08
2024-08-01,218.36
2024-08-02,219.86
2024-08-05,209.27
2024-08-06,207.23
2024-08-07,209.82
2024-08-08,213.31
2024-08-09,216.24
2024-08-12,217.53
2024-08-13,221.27
2024-08-14,221.72
2024-08-15,224.72
2024-08-16,226.05
2024-08-19,225.89
2024-08-20,226.51
2024-08-21,226.4
2024-08-22,224.53
2024-08-23,226.84
2024-08-26,227.18
2024-08-27,228.03
2024-08-28,226.49
2024-08-29,229.79
2024-08-30,229.0
2024-09-03,222.77
2024-09-04,220.85
2024-09-05,222.38
2024-09-06,220.82
2024-09-09,220.91
2024-09-10,220.11
2024-09-11,222.66
2024-09-12,222.77
2024-09-13,222.5
2024-09-16,216.32
2024-09-17,216.79
2024-09-18,220.69
2024-09-19,228.87
2024-09-20,228.2
2024-09-23,226.47
2024-09-24,227.37
2024-09-25,226.37
2024-09-26,227.52
2024-09-27,227.79
2024-09-30,233.0
2024-10-01,226.21
2024-10-02,226.78
2024-10-03,225.67
2024-10-04,226.8
2024-10-07,221.69
2024-10-08,225.77
2024-10-09,229.54
2024-10-10,229.04
2024-10-11,227.55
2024-10-14,231.3
2024-10-15,233.85
2024-10-16,231.78
2024-10-17,232.15
2024-10-18,235.0
2024-10-21,236.48
2024-10-22,235.86
2024-10-23,230.76
2024-10-24,230.57
2024-10-25,231.41
2024-10-28,233.4
2024-10-29,233.67
2024-10-30,230.1
2024-10-31,225.91
2024-11-01,222.91
2024-11-04,222.01
2024-11-05,223.45
2024-11-06,222.72
2024-11-07,227.48
2024-11-08,226.96
2024-11-11,224.23
2024-11-12,224.23
2024-11-13,225.12
2024-11-14,228.22
2024-11-15,225.0
2024-11-18,228.02
2024-11-19,228.28
2024-11-20,229.0
2024-11-21,228.52
2024-11-22,229.87
2024-11-25,232.87
2024-11-26,235.06
2024-11-27,234.93
2024-11-29,237.33
2024-12-02,239.59
2024-12-03,242.65
2024-12-04,243.01
2024-12-05,243.04
2024-12-06,242.84
2024-12-09,246.75
2024-12-10,247.77
2024-12-11,246.49
2024-12-12,247.96
2024-12-13,248.13
2024-12-16,251.04
2024-12-17,253.48
2024-12-18,248.05
2024-12-19,249.79
2024-12-20,254.49
2024-12-23,255.27
2024-12-24,258.2
2024-12-26,259.02
2024-12-27,255.59
2024-12-30,252.2
2024-12-31,250.42
2025-01-02,243.85
2025-01-03,243.36
2025-01-06,245.0
2025-01-07,242.21
2025-01-08,242.7
2025-01-10,236.85
2025-01-13,234.4
2025-01-14,233.28
2025-01-15,237.87
2025-01-16,228.26
2025-01-17,229.98
2025-01-21,222.64
2025-01-22,223.83
2025-01-23,223.66
2025-01-24,222.78
2025-01-27,229.86
2025-01-28,238.26
2025-01-29,239.36
2025-01-30,237.59
2025-01-31,236.0
2025-02-03,228.01
2025-02-04,232.8
2025-02-05,232.47
2025-02-06,233.22
2025-02-07,227.63
2025-02-10,227.65
2025-02-11,232.62
2025-02-12,236.87
2025-02-13,241.53
2025-02-14,244.6
2025-02-18,244.47
2025-02-19,244.87
2025-02-20,245.83
2025-02-21,245.55
2025-02-24,247.1
2025-02-25,247.04
2025-02-26,240.36
2025-02-27,237.3
2025-02-28,241.84
2025-03-03,238.03
2025-03-04,235.93
2025-03-05,235.74
2025-03-06,235.33
2025-03-07,239.07
2025-03-10,227.48
2025-03-11,220.84
2025-03-12,216.98
2025-03-13,209.68
2025-03-14,213.49
