Date,Price
2024-03-21,174.73402
2024-03-22,191.24786
2024-03-25,191.25912
2024-03-26,191.36043
2024-03-27,193.17209
2024-03-28,193.51562
2024-04-01,192.78636
2024-04-02,193.96089
2024-04-03,192.82024
2024-04-04,193.81468
2024-04-05,197.29698
2024-04-08,199.81244
2024-04-09,202.22783
2024-04-10,201.50809
2024-04-11,204.1132
2024-04-12,206.84377
2024-04-15,206.45735
2024-04-16,208.1612
2024-04-17,207.77118
2024-04-18,209.69986
2024-04-19,213.8417
2024-04-22,217.88858
2024-04-23,219.85547
2024-04-24,220.59953
2024-04-25,221.82195
2024-04-26,222.3635
2024-04-29,222.47969
2024-04-30,223.75456
2024-05-01,223.70227
2024-05-02,224.7357
2024-05-03,228.96078
2024-05-06,228.94873
2024-05-07,229.96567
2024-05-08,227.42903
2024-05-09,226.77625
2024-05-10,226.09842
2024-05-13,227.15503
2024-05-14,226.94153
2024-05-15,226.04245
2024-05-16,226.37164
2024-05-17,226.34166
2024-05-20,224.43959
2024-05-21,220.6057
2024-05-22,217.00339
2024-05-23,214.57692
2024-05-24,213.87965
2024-05-28,211.53001
2024-05-29,212.4451
2024-05-30,214.05928
2024-05-31,216.38414
2024-06-03,217.60858
2024-06-04,218.28749
2024-06-05,215.12079
2024-06-06,213.17879
2024-06-07,213.85364
2024-06-10,216.17953
2024-06-11,218.65544
2024-06-12,220.21883
2024-06-13,219.46689
2024-06-14,216.84137
2024-06-17,215.8335
2024-06-18,215.46475
2024-06-20,217.4911
2024-06-21,222.05511
2024-06-24,221.24446
2024-06-25,219.18901
2024-06-26,219.70358
2024-06-27,219.06396
2024-06-28,217.34239
2024-07-01,217.58098
2024-07-02,215.84393
2024-07-03,211.74309
2024-07-05,209.04039
2024-07-08,206.01923
2024-07-09,204.13446
2024-07-10,202.60143
2024-07-11,201.37633
2024-07-12,199.59695
2024-07-15,195.41147
2024-07-16,194.24263
2024-07-17,195.9422
2024-07-18,197.63205
2024-07-19,197.49484
2024-07-22,197.56639
2024-07-23,200.86693
2024-07-24,204.78827
2024-07-25,204.04094
2024-07-26,201.51195
2024-07-29,201.61183
2024-07-30,202.62558
2024-07-31,201.72427
2024-08-01,197.69409
2024-08-02,193.11601
2024-08-05,190.8592
2024-08-06,189.07317
2024-08-07,185.73473
2024-08-08,187.67809
2024-08-09,185.79404
2024-08-12,184.09856
2024-08-13,183.201
2024-08-14,182.6748
2024-08-15,183.47296
2024-08-16,185.42479
2024-08-19,184.80171
2024-08-20,184.17708
2024-08-21,183.49626
2024-08-22,183.71118
2024-08-23,184.42944
2024-08-26,184.6804
2024-08-27,184.40245
2024-08-28,182.61194
2024-08-29,181.10336
2024-08-30,180.02701
2024-09-03,180.3666
2024-09-04,181.61108
2024-09-05,180.1887
2024-09-06,181.3901
2024-09-09,181.93498
2024-09-10,183.31119
2024-09-11,185.31929
2024-09-12,187.52394
2024-09-13,188.66705
2024-09-16,188.9596
2024-09-17,187.73625
2024-09-18,185.48958
2024-09-19,183.4569
2024-09-20,181.90796
2024-09-23,182.04794
2024-09-24,182.12999
2024-09-25,182.86684
2024-09-26,181.53593
2024-09-27,177.98459
2024-09-30,173.93234
2024-10-01,171.57474
2024-10-02,171.58307
2024-10-03,173.75899
2024-10-04,172.87546
2024-10-07,173.8423
2024-10-08,172.33875
2024-10-09,169.10933
2024-10-10,169.35762
2024-10-11,171.10048
2024-10-14,172.48549
2024-10-15,173.33932
2024-10-16,174.12468
2024-10-17,175.6376
2024-10-18,175.08525
2024-10-21,174.6755
2024-10-22,173.74472
2024-10-23,171.98047
2024-10-24,168.7864
2024-10-25,168.20023
2024-10-28,166.54411
2024-10-29,165.28299
2024-10-30,162.69077
2024-10-31,160.315
2024-11-01,160.83195
2024-11-04,165.21997
2024-11-05,174.14268
2024-11-06,181.9383
2024-11-07,181.86357
2024-11-08,179.87627
2024-11-11,180.10104
2024-11-12,179.38112
2024-11-13,179.24332
2024-11-14,180.87004
2024-11-15,181.95163
2024-11-18,180.32317
2024-11-19,181.29706
2024-11-20,183.40533
2024-11-21,186.6731
2024-11-22,188.84377
2024-11-25,189.26991
2024-11-26,190.72961
2024-11-27,192.32874
2024-11-29,194.22758
2024-12-02,193.95187
2024-12-03,193.88551
2024-12-04,193.71304
2024-12-05,193.05159
2024-12-06,193.12894
2024-12-09,191.39777
2024-12-10,190.49753
2024-12-11,190.30351
2024-12-12,186.16376
2024-12-13,183.16078
2024-12-16,183.45815
2024-12-17,183.49634
2024-12-18,180.96239
2024-12-19,179.56677
2024-12-20,179.96486
2024-12-23,180.29434
2024-12-24,181.58203
2024-12-26,183.25189
2024-12-27,183.32513
2024-12-30,182.6303
2024-12-31,181.20093
2025-01-02,179.98607
2025-01-03,177.3429
2025-01-06,175.86194
2025-01-07,175.27812
2025-01-08,175.80095
2025-01-10,177.97533
2025-01-13,179.02231
2025-01-14,178.7014
2025-01-15,178.44608
2025-01-16,179.25357
2025-01-17,180.21411
2025-01-21,180.34798
2025-01-22,180.66103
2025-01-23,180.99712
2025-01-24,181.1784
2025-01-27,182.30934
2025-01-28,182.61855
2025-01-29,182.82376
2025-01-30,183.77141
2025-01-31,184.54182
2025-02-03,184.3922
2025-02-04,184.66045
2025-02-05,183.60608
2025-02-06,181.14975
2025-02-07,178.3632
2025-02-10,175.44191
2025-02-11,175.36327
2025-02-12,176.99094
2025-02-13,175.05246
2025-02-14,173.68533
2025-02-18,175.39558
2025-02-19,175.44933
2025-02-20,173.95029
2025-02-21,174.34026
2025-02-24,177.11894
2025-02-25,178.682
2025-02-26,180.11871
2025-02-27,181.4448
2025-02-28,183.1903
2025-03-03,183.57043
2025-03-04,182.10597
2025-03-05,181.69316
2025-03-06,180.79884
2025-03-07,179.36168
2025-03-10,177.63695
2025-03-11,178.18892
2025-03-12,177.38258
2025-03-13,177.17067
2025-03-14,176.57335
2025-03-17,176.07661
2025-03-18,175.83052
2025-03-19,176.18619
2025-03-20,175.50243
