Date,Price
2024-03-21,178.15
2024-03-22,178.87
2024-03-25,179.71
2024-03-26,178.3
2024-03-27,179.83
2024-03-28,180.38
2024-04-01,180.97
2024-04-02,180.69
2024-04-03,182.41
2024-04-04,180
2024-04-05,185.07
2024-04-08,185.19
2024-04-09,185.67
2024-04-10,185.95
2024-04-11,189.05
2024-04-12,186.13
2024-04-15,183.62
2024-04-16,183.32
2024-04-17,181.28
2024-04-18,179.22
2024-04-19,174.63
2024-04-22,177.23
2024-04-23,179.54
2024-04-24,176.59
2024-04-25,173.67
2024-04-26,179.62
2024-04-29,180.96
2024-04-30,175
2024-05-01,179
2024-05-02,184.72
2024-05-03,186.21
2024-05-06,188.7
2024-05-07,188.76
2024-05-08,188
2024-05-09,189.5
2024-05-10,187.48
2024-05-13,186.57
2024-05-14,187.07
2024-05-15,185.99
2024-05-16,183.63
2024-05-17,184.7
2024-05-20,183.54
2024-05-21,183.15
2024-05-22,183.13
2024-05-23,181.05
2024-05-24,180.75
2024-05-28,182.15
2024-05-29,182.02
2024-05-30,179.32
2024-05-31,176.44
2024-06-03,178.34
2024-06-04,179.34
2024-06-05,181.28
2024-06-06,185
2024-06-07,184.3
2024-06-10,187.06
2024-06-11,187.23
2024-06-12,186.89
2024-06-13,183.83
2024-06-14,183.66
2024-06-17,184.06
2024-06-18,182.81
2024-06-20,186.1
2024-06-21,189.08
2024-06-24,185.57
2024-06-25,186.34
2024-06-26,193.61
2024-06-27,197.85
2024-06-28,193.25
2024-07-01,197.2
2024-07-02,200
2024-07-03,197.59
2024-07-05,200
2024-07-08,199.29
2024-07-09,199.34
2024-07-10,199.79
2024-07-11,195.05
2024-07-12,194.49
2024-07-15,192.72
2024-07-16,193.02
2024-07-17,187.93
2024-07-18,183.75
2024-07-19,183.13
2024-07-22,182.55
2024-07-23,186.41
2024-07-24,180.83
2024-07-25,179.85
2024-07-26,182.5
2024-07-29,183.2
2024-07-30,181.71
2024-07-31,186.98
2024-08-01,184.07
2024-08-02,167.9
2024-08-05,161.02
2024-08-06,161.93
2024-08-07,162.77
2024-08-08,165.8
2024-08-09,166.94
2024-08-12,166.8
2024-08-13,170.23
2024-08-14,170.1
2024-08-15,177.59
2024-08-16,177.06
2024-08-19,178.22
2024-08-20,178.88
2024-08-21,180.11
2024-08-22,176.13
2024-08-23,177.04
2024-08-26,175.5
2024-08-27,173.12
2024-08-28,170.8
2024-08-29,172.12
2024-08-30,178.5
2024-09-03,176.25
2024-09-04,173.33
2024-09-05,177.89
2024-09-06,171.39
2024-09-09,175.4
2024-09-10,179.55
2024-09-11,184.52
2024-09-12,187
2024-09-13,186.49
2024-09-16,184.89
2024-09-17,186.88
2024-09-18,186.43
2024-09-19,189.87
2024-09-20,191.6
2024-09-23,193.88
2024-09-24,193.96
2024-09-25,192.53
2024-09-26,191.16
2024-09-27,187.97
2024-09-30,186.33
2024-10-01,185.13
2024-10-02,184.76
2024-10-03,181.96
2024-10-04,186.51
2024-10-07,180.8
2024-10-08,182.72
2024-10-09,185.17
2024-10-10,186.65
2024-10-11,188.82
2024-10-14,187.54
2024-10-15,187.69
2024-10-16,186.89
2024-10-17,187.53
2024-10-18,188.99
2024-10-21,189.07
2024-10-22,189.7
2024-10-23,184.71
2024-10-24,186.38
2024-10-25,187.83
2024-10-28,188.39
2024-10-29,190.83
2024-10-30,192.73
2024-10-31,186.4
2024-11-01,197.93
2024-11-04,195.78
2024-11-05,199.5
2024-11-06,207.09
2024-11-07,210.05
2024-11-08,208.18
2024-11-11,206.84
2024-11-12,208.91
2024-11-13,214.1
2024-11-14,211.48
2024-11-15,202.61
2024-11-18,201.7
2024-11-19,204.61
2024-11-20,202.88
2024-11-21,198.38
2024-11-22,197.12
2024-11-25,201.45
2024-11-26,207.86
2024-11-27,205.74
2024-11-29,207.89
2024-12-02,210.71
2024-12-03,213.44
2024-12-04,218.16
2024-12-05,220.55
2024-12-06,227.03
2024-12-09,226.09
2024-12-10,225.04
2024-12-11,230.26
2024-12-12,228.97
2024-12-13,227.46
2024-12-16,232.93
2024-12-17,231.15
2024-12-18,220.52
2024-12-19,223.29
2024-12-20,224.92
2024-12-23,225.06
2024-12-24,229.05
2024-12-26,227.05
2024-12-27,223.75
2024-12-30,221.3
2024-12-31,219.39
2025-01-02,220.22
2025-01-03,224.19
2025-01-06,227.61
2025-01-07,222.11
2025-01-08,222.13
2025-01-10,218.94
2025-01-13,218.46
2025-01-14,217.76
2025-01-15,223.35
2025-01-16,220.66
2025-01-17,225.94
2025-01-21,230.71
2025-01-22,235.01
2025-01-23,235.42
2025-01-24,234.85
2025-01-27,235.42
2025-01-28,238.15
2025-01-29,237.07
2025-01-30,234.64
2025-01-31,237.68
2025-02-03,237.42
2025-02-04,242.06
2025-02-05,236.17
2025-02-06,238.83
2025-02-07,229.15
2025-02-10,233.14
2025-02-11,232.76
2025-02-12,228.93
2025-02-13,230.37
2025-02-14,228.68
2025-02-18,226.65
2025-02-19,226.63
2025-02-20,222.88
2025-02-21,216.58
2025-02-24,212.71
2025-02-25,212.8
2025-02-26,214.35
2025-02-27,208.74
2025-02-28,212.28
2025-03-03,205.02
2025-03-04,203.8
2025-03-05,208.36
2025-03-06,200.7
2025-03-07,199.25
2025-03-10,194.54
2025-03-11,196.59
2025-03-12,198.89
2025-03-13,193.89
2025-03-14,197.95
2025-03-17,195.74
2025-03-18,192.82
2025-03-19,195.54
2025-03-20,194.95
2025-03-21,196.21
