Date,Price
2024-03-21,172.8025909
2024-03-22,172.8572854
2024-03-25,162.2644423
2024-03-26,162.5966416
2024-03-27,162.8044299
2024-03-28,160.35989
2024-04-01,160.0947104
2024-04-02,155.0353217
2024-04-03,148.9848763
2024-04-04,155.472168
2024-04-05,160.0727168
2024-04-08,165.2577625
2024-04-09,159.7362431
2024-04-10,171.0316726
2024-04-11,174.9006143
2024-04-12,174.1224354
2024-04-15,173.2693085
2024-04-16,177.9138387
2024-04-17,179.4204449
2024-04-18,176.6741085
2024-04-19,180.1989838
2024-04-22,185.6803042
2024-04-23,184.4298514
2024-04-24,183.8994355
2024-04-25,184.8811879
2024-04-26,185.8968798
2024-04-29,180.0509791
2024-04-30,180.1442549
2024-05-01,180.9294983
2024-05-02,184.5145734
2024-05-03,181.7248877
2024-05-06,175.9396269
2024-05-07,175.5877842
2024-05-08,176.2637454
2024-05-09,179.5535127
2024-05-10,172.6513495
2024-05-13,178.0404918
2024-05-14,174.8110944
2024-05-15,174.7527946
2024-05-16,179.449849
2024-05-17,173.6596686
2024-05-20,176.7354064
2024-05-21,171.1802029
2024-05-22,169.6285295
2024-05-23,166.0827717
2024-05-24,165.6248
2024-05-28,169.733938
2024-05-29,171.6970632
2024-05-30,171.0544603
2024-05-31,172.4169182
2024-06-03,170.5827265
2024-06-04,169.3298408
2024-06-05,170.2358408
2024-06-06,176.8822773
2024-06-07,174.4771599
2024-06-10,180.1423408
2024-06-11,179.900316
2024-06-12,179.0479746
2024-06-13,177.0970437
2024-06-14,176.0316683
2024-06-17,177.2011414
2024-06-18,171.5253241
2024-06-20,171.3653774
2024-06-21,172.5420812
2024-06-24,168.2574886
2024-06-25,166.1644863
2024-06-26,163.5537419
2024-06-27,163.3994188
2024-06-28,156.6562221
2024-07-01,153.0994268
2024-07-02,155.3661395
2024-07-03,157.4758033
2024-07-05,153.9284207
2024-07-08,155.5606191
2024-07-09,155.0165272
2024-07-10,152.5469734
2024-07-11,150.4238758
2024-07-12,153.2541075
2024-07-15,150.3874617
2024-07-16,144.5624553
2024-07-17,147.2927854
2024-07-18,147.1034901
2024-07-19,146.0013933
2024-07-22,141.8173574
2024-07-23,140.2374324
2024-07-24,142.6513709
2024-07-25,147.5788995
2024-07-26,150.5826818
2024-07-29,151.7153191
2024-07-30,150.8625166
2024-07-31,149.1098868
2024-08-01,152.5201072
2024-08-02,154.9422635
2024-08-05,153.7801128
2024-08-06,150.973726
2024-08-07,154.2278854
2024-08-08,153.0815214
