Date,Price
2024-03-22,188.85
2024-03-25,191.41
2024-03-26,187.5
2024-03-27,191.95
2024-03-28,192.99
2024-04-01,189.5
2024-04-02,188.04
2024-04-03,184.92
2024-04-04,183.29
2024-04-05,183.14
2024-04-08,181.56
2024-04-09,178.12
2024-04-10,174.63
2024-04-11,173.36
2024-04-12,169.55
2024-04-15,167.82
2024-04-16,170.55
2024-04-17,170.21
2024-04-18,170.23
2024-04-19,169.82
2024-04-22,170.48
2024-04-23,169.18
2024-04-24,164.33
2024-04-25,166.81
2024-04-26,167.22
2024-04-29,173.49
2024-04-30,167.84
2024-05-01,171.46
2024-05-02,178.85
2024-05-03,179.79
2024-05-06,178.35
2024-05-07,176.71
2024-05-08,180.35
2024-05-09,181.25
2024-05-10,178.51
2024-05-13,178.44
2024-05-14,180.76
2024-05-15,176.99
2024-05-16,182.96
2024-05-17,184.95
2024-05-20,186.61
2024-05-21,184.78
2024-05-22,186.28
2024-05-23,172.21
2024-05-24,174.52
2024-05-28,175.08
2024-05-29,171.65
2024-05-30,172.75
2024-05-31,177.61
2024-06-03,184.57
2024-06-04,188.62
2024-06-05,189.85
2024-06-06,191.42
2024-06-07,190.24
2024-06-10,190.12
2024-06-11,185.5
2024-06-12,182.67
2024-06-13,180.7
2024-06-14,177.27
2024-06-17,178.39
2024-06-18,174.99
2024-06-20,176.3
2024-06-21,176.56
2024-06-24,179.1
2024-06-25,175.1
2024-06-26,178.5
2024-06-27,182.51
2024-06-28,182.01
2024-07-01,186.7
2024-07-02,185.42
2024-07-03,184.31
2024-07-05,184.83
2024-07-08,185.84
2024-07-09,183.24
2024-07-10,183.73
2024-07-11,183.91
2024-07-12,182.31
2024-07-15,179.11
2024-07-16,186.05
2024-07-17,184.84
2024-07-18,180.23
2024-07-19,179.67
2024-07-22,178.9
2024-07-23,186.48
2024-07-24,180.07
2024-07-25,184.35
2024-07-26,186.89
2024-07-29,185.43
2024-07-30,186.86
2024-07-31,190.6
2024-08-01,178.31
2024-08-02,169.95
2024-08-05,167.03
2024-08-06,165.04
2024-08-07,163.24
2024-08-08,168.87
2024-08-09,167.91
2024-08-12,164.13
2024-08-13,168.76
2024-08-14,168.5
2024-08-15,176.41
2024-08-16,179.99
2024-08-19,179.64
2024-08-20,172.1
2024-08-21,173.43
2024-08-22,172.76
2024-08-23,174.96
2024-08-26,173.48
2024-08-27,173.05
2024-08-28,170.71
2024-08-29,172.26
2024-08-30,173.74
2024-09-03,161.02
2024-09-04,163.22
2024-09-05,162.15
2024-09-06,157.62
2024-09-09,162.91
2024-09-10,160.07
2024-09-11,161.33
2024-09-12,162.77
2024-09-13,156.77
2024-09-16,155.55
2024-09-17,156.39
2024-09-18,155.11
2024-09-19,154.59
2024-09-20,153.29
2024-09-23,156.3
2024-09-24,155.81
2024-09-25,152.22
2024-09-26,154.58
2024-09-27,156.32
2024-09-30,152.04
2024-10-01,154.22
2024-10-02,152.89
2024-10-03,150.52
2024-10-04,155
2024-10-07,155.91
2024-10-08,154.65
2024-10-09,149.37
2024-10-10,146.62
2024-10-11,151.02
2024-10-14,148.99
2024-10-15,152.35
2024-10-16,154.9
2024-10-17,155.31
2024-10-18,155
2024-10-21,159.82
2024-10-22,159.88
2024-10-23,157.06
2024-10-24,155.2
2024-10-25,155.01
2024-10-28,150.69
2024-10-29,152.98
2024-10-30,154.29
2024-10-31,149.31
2024-11-01,154.59
2024-11-04,155.07
2024-11-05,151
2024-11-06,147.16
2024-11-07,150.98
2024-11-08,151.68
2024-11-11,148.96
2024-11-12,145.17
2024-11-13,139.97
2024-11-14,138.14
2024-11-15,140.19
2024-11-18,143.87
2024-11-19,145.6
2024-11-20,146.08
2024-11-21,143.41
2024-11-22,149.29
2024-11-25,153.1
2024-11-26,150.76
2024-11-27,152.4
2024-11-29,155.44
2024-12-02,156.54
2024-12-03,155
2024-12-04,158.28
2024-12-05,156.67
2024-12-06,153.93
2024-12-09,157.04
2024-12-10,164.1
2024-12-11,165.96
2024-12-12,167.75
2024-12-13,169.65
2024-12-16,173.17
2024-12-17,173.03
2024-12-18,172.62
2024-12-19,177.04
2024-12-20,177.35
2024-12-23,177.69
2024-12-24,179.34
2024-12-26,180.38
2024-12-27,180.72
2024-12-30,176.55
2024-12-31,177
2025-01-02,171.87
2025-01-03,169.9
2025-01-06,170.78
2025-01-07,172.51
2025-01-08,171.76
2025-01-10,172
2025-01-13,170.57
2025-01-14,167.02
2025-01-15,166.2
2025-01-16,168.93
2025-01-17,171.09
2025-01-21,175.56
2025-01-22,174.8
2025-01-23,178.5
2025-01-24,176.06
2025-01-27,175.16
2025-01-28,177.78
2025-01-29,173.66
2025-01-30,179.53
2025-01-31,176.52
2025-02-03,175.87
2025-02-04,176.23
2025-02-05,181.84
2025-02-06,184.8
2025-02-07,181.49
2025-02-10,180.55
2025-02-11,180.44
2025-02-12,186.25
2025-02-13,185.44
2025-02-14,184.42
2025-02-18,184.97
2025-02-19,186.15
2025-02-20,180.88
2025-02-21,177.15
2025-02-24,179.91
2025-02-25,178.27
2025-02-26,173.04
2025-02-27,173.83
2025-02-28,174.63
2025-03-03,170.06
2025-03-04,158.9
2025-03-05,163.16
2025-03-06,158.43
2025-03-07,154.18
2025-03-10,148.15
2025-03-11,154.06
2025-03-12,158.8
2025-03-13,159.32
2025-03-14,161.81
2025-03-17,161.85
2025-03-18,161.57
2025-03-19,172.62
2025-03-20,172.83
