Date,Price
2024-03-22,93.86
2024-03-25,93.75
2024-03-26,92.58
2024-03-27,94.13
2024-03-28,93.98
2024-04-01,92.56
2024-04-02,90.95
2024-04-03,90.33
2024-04-04,89.07
2024-04-05,88.84
2024-04-08,90
2024-04-09,91
2024-04-10,89
2024-04-11,92
2024-04-12,92
2024-04-15,93.1
2024-04-16,93.39
2024-04-17,94.84
2024-04-18,95.74
2024-04-19,94.53
2024-04-22,94.19
2024-04-23,94.02
2024-04-24,94.64
2024-04-25,93.94
2024-04-26,94.12
2024-04-29,94.06
2024-04-30,92.26
2024-05-01,90.34
2024-05-02,92.41
2024-05-03,92.15
2024-05-06,93.36
2024-05-07,93.78
2024-05-08,93.59
2024-05-09,93.39
2024-05-10,90.94
2024-05-13,92.72
2024-05-14,92.79
2024-05-15,91.67
2024-05-16,91.77
2024-05-17,92.18
2024-05-20,91.77
2024-05-21,92.82
2024-05-22,92.5
2024-05-23,91.4
2024-05-24,91.75
2024-05-28,92
2024-05-29,91.67
2024-05-30,93.45
2024-05-31,95.05
2024-06-03,94.4
2024-06-04,94.74
2024-06-05,94.32
2024-06-06,95.72
2024-06-07,96.55
2024-06-10,96
2024-06-11,95.87
2024-06-12,93.68
2024-06-13,94.18
2024-06-14,93.39
2024-06-17,95
2024-06-18,94.78
2024-06-20,95.57
2024-06-21,97.18
2024-06-24,97.17
2024-06-25,94.75
2024-06-26,94.06
2024-06-27,94.19
2024-06-28,75.37
2024-07-01,76.83
2024-07-02,76.04
2024-07-03,75.24
2024-07-05,75.43
2024-07-08,73.05
2024-07-09,72.46
2024-07-10,72.54
2024-07-11,73.39
2024-07-12,73.42
2024-07-15,71.31
2024-07-16,72.81
2024-07-17,73.07
2024-07-18,72.38
2024-07-19,72.7
2024-07-22,74.86
2024-07-23,73.4
2024-07-24,71.09
2024-07-25,71.41
2024-07-26,72.56
2024-07-29,73.55
2024-07-30,74.32
2024-07-31,74.86
2024-08-01,73.85
2024-08-02,74.01
2024-08-05,71.42
2024-08-06,72.5
2024-08-07,72.62
2024-08-08,74.19
2024-08-09,74.34
2024-08-12,74.64
2024-08-13,78.5
2024-08-14,78.52
2024-08-15,82.5
2024-08-16,83.23
2024-08-19,83.28
2024-08-20,83.56
2024-08-21,84
2024-08-22,83.41
2024-08-23,84.05
2024-08-26,84.28
2024-08-27,85.29
2024-08-28,82.79
2024-08-29,83.26
2024-08-30,83.32
2024-09-03,81.32
2024-09-04,81.02
2024-09-05,80.83
2024-09-06,80.63
2024-09-09,79.49
2024-09-10,78.09
2024-09-11,78.4
2024-09-12,78.4
2024-09-13,79.01
2024-09-16,79.8
2024-09-17,80.64
2024-09-18,80.9
2024-09-19,80.98
2024-09-20,86.52
2024-09-23,86.2
2024-09-24,87.46
2024-09-25,88
2024-09-26,89.39
2024-09-27,89.44
2024-09-30,88.4
2024-10-01,89.13
2024-10-02,83.1
2024-10-03,82.1
2024-10-04,82.25
2024-10-07,80.83
2024-10-08,80.77
2024-10-09,82.45
2024-10-10,82.1
2024-10-11,82.15
2024-10-14,81.6
2024-10-15,82.12
2024-10-16,83.94
2024-10-17,83.4
2024-10-18,82.92
2024-10-21,81.48
2024-10-22,81.42
2024-10-23,80.05
2024-10-24,79.04
2024-10-25,78.85
2024-10-28,78.91
2024-10-29,78.4
2024-10-30,76.45
2024-10-31,77.13
2024-11-01,78.06
2024-11-04,77.19
2024-11-05,77.98
2024-11-06,75.32
2024-11-07,75.92
2024-11-08,75.88
2024-11-11,76.6
2024-11-12,76.66
2024-11-13,76.52
2024-11-14,75.68
2024-11-15,76.66
2024-11-18,74.89
2024-11-19,73.91
2024-11-20,73.36
2024-11-21,75.1
2024-11-22,77.4
2024-11-25,79.26
2024-11-26,77.61
2024-11-27,78.34
2024-11-29,78.77
2024-12-02,79.09
2024-12-03,78.86
2024-12-04,78.37
2024-12-05,78.58
2024-12-06,78.89
2024-12-09,77.64
2024-12-10,76.74
2024-12-11,78.85
2024-12-12,77.96
2024-12-13,77.25
2024-12-16,77.2
2024-12-17,78
2024-12-18,76.9
2024-12-19,77.1
2024-12-20,76.94
2024-12-23,76.76
2024-12-24,76.79
2024-12-26,76.94
2024-12-27,76.42
2024-12-30,74.65
2024-12-31,75.67
2025-01-02,73.67
2025-01-03,73.31
2025-01-06,72
2025-01-07,72.09
2025-01-08,71.29
2025-01-10,71.2
2025-01-13,72.08
2025-01-14,71.17
2025-01-15,71.07
2025-01-16,71.11
2025-01-17,70.84
2025-01-21,73.17
2025-01-22,74.04
2025-01-23,74.29
2025-01-24,73.57
2025-01-27,75.58
2025-01-28,74.39
2025-01-29,76.58
2025-01-30,78.33
2025-01-31,76.9
2025-02-03,76.59
2025-02-04,76.72
2025-02-05,74.57
2025-02-06,71.74
2025-02-07,68.68
2025-02-10,70.94
2025-02-11,71.34
2025-02-12,72.26
2025-02-13,73.21
2025-02-14,73.04
2025-02-18,77.59
2025-02-19,76.78
2025-02-20,77.23
2025-02-21,76.5
2025-02-24,80.28
2025-02-25,81.72
2025-02-26,81.17
2025-02-27,80.02
2025-02-28,79.43
2025-03-03,78.41
2025-03-04,77.32
2025-03-05,77.81
2025-03-06,77.71
2025-03-07,78.59
2025-03-10,76.4
2025-03-11,74.17
2025-03-12,73.58
2025-03-13,72.64
2025-03-14,71.66
2025-03-17,73.7
2025-03-18,73.31
2025-03-19,72.99
2025-03-20,71.86
